Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method,Z-Score
0x67bf6a2beb77bd7b0cd4aae7f90b29d0c9280aad1503c14568255acff46388b0,20012771,1717435523,2024-06-03 17:25:23,0x1111111254eeb25477b68fb85ed929f73a960582,0x74de5d4fcbf63e00296fd95d33236b9794016631,739.0114149343256,Swap,0.04506868656447868
0x67bf6a2beb77bd7b0cd4aae7f90b29d0c9280aad1503c14568255acff46388b0,20012771,1717435523,2024-06-03 17:25:23,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x91a228263cf340c9fc209b96cf8cc961b5167a6a,739.0114149343256,Swap,0.04506868656447868
0xaa6e40dde92f5a304f057ffe011eec3dffafc93b834551916c419e338fbb474c,20012867,1717436675,2024-06-03 17:44:35,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,742.0822694092464,-,0.04545213340464479
0xaa6e40dde92f5a304f057ffe011eec3dffafc93b834551916c419e338fbb474c,20012867,1717436675,2024-06-03 17:44:35,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,742.0822422090954,-,0.04545213000825723
0x0c19c2a8479aae742ef10579febfbce4173da6fd99c0bc1aacddd56269da7d61,20012893,1717436987,2024-06-03 17:49:47,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,763.5583708840484,-,0.048133778958627575
0x1fadba46249da30b1ea827b49d169ff1649b548a5adadc246b5d57a1d92b37fa,20012893,1717436987,2024-06-03 17:49:47,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,763.5583482572924,-,0.04813377613330383
0xbf3917354776f3c40abb9e406eb8c04082ef8dae69118e5b34b7d2e6c4e759ea,20012901,1717437083,2024-06-03 17:51:23,0x6889de313803839ce3e15996a86167f639b4a634,0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,1000.0,Swap,0.07765741686093376
0x64ec174869f6b30b86ae115cf1b6f437290b0ac592f22e678574fbc4980706aa,20012913,1717437227,2024-06-03 17:53:47,0x91a228263cf340c9fc209b96cf8cc961b5167a6a,0xc5a8dfc822335c02eadf88f46b010a4b6b5861cb,2055.0,Transfer,0.20939157088191726
0x740f8d8395375cda6faa8ea335109c5a6b18e2838e94a594cb762a9bf85d34b5,20018296,1717502159,2024-06-04 11:55:59,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0x9008d19f58aabd9ed0d60971565aa8510560ab41,772.3807661012477,Mooo Z1089603480,0.04923540054192285
0x740f8d8395375cda6faa8ea335109c5a6b18e2838e94a594cb762a9bf85d34b5,20018296,1717502159,2024-06-04 11:55:59,0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x141f59a0283303a6b882b4d6973e418f8d75f9b3,1391.34303938943,Mooo Z1089603480,0.12652305119834323
0xce48449c8ed5b61093cb32a3ba15fde0fb448701939904af8b61e9b587de4732,20020323,1717526579,2024-06-04 18:42:59,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,1757.23401078583,-,0.17221057497163292
0xfe5d8dc7bd19ee3ca3ef5320968adbe6db67d7ad2b5c1327a02e8574dbe0b74c,20020323,1717526579,2024-06-04 18:42:59,0xe37e799d5077682fa0a244d46e5649f71457bd09,0x1111111254eeb25477b68fb85ed929f73a960582,1256.61840288171,Swap,0.10970045781812615
0xfe5d8dc7bd19ee3ca3ef5320968adbe6db67d7ad2b5c1327a02e8574dbe0b74c,20020323,1717526579,2024-06-04 18:42:59,0x1111111254eeb25477b68fb85ed929f73a960582,0xe71f1886cbf5ffc83e5a636418d67ba2c33f3c6b,1256.61840288171,Swap,0.10970045781812615
0x6917a8dc6c485ab13111c2d7ba256cd9731af059c9ce994d14fa3835e6dea452,20020323,1717526579,2024-06-04 18:42:59,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,1757.23398121624,-,0.1722105712793818
0xf531ce0d57de0e47ca35acb681703aa4650f68747eae287fe1319222620aacd1,20021238,1717537619,2024-06-04 21:46:59,0x0000000000000000000000000000000000000000,0x6889de313803839ce3e15996a86167f639b4a634,4500.0,Finalise Near To Eth Transfer,0.5146901553191728
0x8d92e8b55c53ce4b4b3b2db78d7b38b267fd06b94602579731bb6e1b517d8553,20021720,1717543427,2024-06-04 23:23:47,0x0000000000000000000000000000000000000000,0xbc6a5cfcf24eacda3c25c042494ef21b77165738,2515.0,Finalise Near To Eth Transfer,0.2668301593650001
0x908c5b495298cb783075b1b3be1880817f3da0386e5e056c05f41c6293130997,20022977,1717558583,2024-06-05 03:36:23,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,763.0596133864179,-,0.04807150085719443
0x99116776c3966784a07b273005660e59cee2d1ee19ce48408c26791fab0d986b,20022977,1717558583,2024-06-05 03:36:23,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0xe37e799d5077682fa0a244d46e5649f71457bd09,739.1134882697509,Swap,0.045081432104279964
